InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
545464,22624,,1,2011-03-03 09:10:00,8.5,,United Kingdom
552508,22998,,2,2011-05-09 16:27:00,0.83,,United Kingdom
541424,22335,,1,2011-01-17 17:57:00,1.25,,United Kingdom
551173,84970S,,5,2011-04-26 16:54:00,2.08,,United Kingdom
557938,23205,,1,2011-06-23 15:35:00,1.63,,United Kingdom
578347,84951B,,1,2011-11-24 09:26:00,2.46,,United Kingdom
556108,22361,,1,2011-06-08 17:59:00,5.79,,United Kingdom
538071,22153,,5,2010-12-09 14:09:00,0.85,,United Kingdom
543399,22699,,1,2011-02-08 11:07:00,5.79,,United Kingdom
542906,22715,,1,2011-02-01 15:12:00,0.83,,United Kingdom
576329,22712,,3,2011-11-14 15:22:00,0.83,,United Kingdom
578065,23378,,1,2011-11-22 15:41:00,0.83,,United Kingdom
541592,21851,,4,2011-01-19 15:08:00,1.63,,United Kingdom
551004,22378,,1,2011-04-26 09:48:00,4.96,,United Kingdom
546406,21403,,1,2011-03-11 16:21:00,0.42,,United Kingdom
549295,84378,,1,2011-04-07 19:49:00,2.46,,United Kingdom
541516,84968F,,3,2011-01-18 17:34:00,8.29,,United Kingdom
540821,22376,,1,2011-01-11 13:16:00,4.21,,United Kingdom
538524,22717,,1,2010-12-13 09:35:00,0.85,,United Kingdom
581492,22396,,1,2011-12-09 10:03:00,2.46,,United Kingdom
544776,22150,,2,2011-02-23 11:39:00,4.96,,United Kingdom
558475,16020C,,6,2011-06-29 15:58:00,0.83,,United Kingdom
538071,90128B,,1,2010-12-09 14:09:00,2.51,,United Kingdom
541219,22135,,2,2011-01-14 14:06:00,0.42,,United Kingdom
580610,23243,,1,2011-12-05 11:48:00,10.79,,United Kingdom
557112,22422,,26,2011-06-16 16:31:00,1.25,,United Kingdom
571508,23020,,1,2011-10-17 15:27:00,24.96,,United Kingdom
539738,22668,,1,2010-12-21 15:19:00,5.91,,United Kingdom
559923,22094,,2,2011-07-13 16:07:00,2.46,,United Kingdom
580115,23551,,2,2011-12-01 16:22:00,0.83,,United Kingdom
538881,82580,,1,2010-12-14 15:54:00,1.28,,United Kingdom
549524,21865,,2,2011-04-08 15:42:00,4.13,,United Kingdom
565232,21524,,1,2011-09-02 09:30:00,16.63,,United Kingdom
541830,21441,,2,2011-01-21 17:09:00,1.63,,United Kingdom
